"review_id","app_id","user_id","app_name","category","app_version","platform","device_model","country","review_date","rating","review_text","sentiment_label","review_length_words","helpful_votes","total_votes","verified_user","subscription_user","in_app_purchase","app_price","app_size_mb","download_count","daily_active_users","monthly_active_users","session_duration_min","crash_count","update_frequency_days","developer_reply","response_time_hours","retention_7d","retention_30d","churn_probability","language","os_version","network_type"
"32","1216","649764","HealthPlus","Finance","1.2","Android","Samsung S23","USA","2024-06-01 01:31:09.403616667","1","Very disappointing experience. Needs improvement.","negative","5","6","9","1","0","0","28.32","369.88","4577069","228416","1183465","100.88","2","70","1","71.99","0.553","0.587","0.112","English","Android 14","5G"
"36","1401","915325","HealthPlus","Social","1.0","Android","Pixel 8","Canada","2024-06-08 02:01:18.298352242","5","Amazing experience. Exceeded my expectations.","positive","5","4","8","0","1","1","23.55","483.18","1799800","183312","1092232","82.11","1","63","0","0","0.83","0.603","0.29","English","Android 14","4G"
"37","1930","798771","HealthPlus","Finance","2.5","Android","Samsung S23","UK","2019-09-19 21:31:10.527622700","3","It works fine for basic usage.","neutral","6","1","12","1","0","0","25.41","153.55","4808775","467412","1884791","107.26","5","84","1","34.78","0.864","0.23","0.591","English","Android 13","WiFi"
"40","1757","933659","HealthPlus","Education","1.2","Android","OnePlus 11","USA","2019-01-10 17:13:18.488146544","1","Slow performance and poor usability.","negative","5","4","11","0","1","0","38.17","234.72","3018659","7642","1818307","23.17","1","141","0","0","0.704","0.063","0.542","English","Android 13","4G"
"60","1593","666144","HealthPlus","Health","2.5","Android","Samsung S23","Canada","2020-05-16 16:40:03.687201500","1","Very disappointing experience. Needs improvement.","negative","5","6","12","0","1","1","29.25","177.6","4410220","219530","782535","5.63","4","16","0","0","0.103","0.771","0.115","English","Android 14","WiFi"
"68","1252","744717","HealthPlus","Gaming","2.5","Android","Samsung S23","Canada","2020-09-01 02:18:35.393251896","5","Absolutely love this app. Smooth experience and great features.","positive","9","8","11","1","1","1","15.88","225.14","3166175","314976","1135375","20.03","2","173","0","0","0.589","0.533","0.367","French","Android 14","WiFi"
"78","1192","446482","HealthPlus","Finance","2.0","Android","OnePlus 11","Germany","2023-09-26 13:42:42.759417772","2","Slow performance and poor usability.","negative","5","5","15","0","1","0","3.1","284.43","1813493","461037","501931","19.95","1","103","1","13.9","0.239","0.478","0.717","German","Android 14","4G"
"80","1557","909278","HealthPlus","Health","1.0","Android","Samsung S23","Canada","2020-04-03 13:35:01.693184137","5","Fantastic performance. Very intuitive and useful.","positive","6","7","13","1","0","1","34.96","67.92","4643836","447823","635351","77.57","3","9","1","16.76","0.209","0.451","0.017","English","Android 14","5G"
"81","1532","896151","HealthPlus","Finance","2.5","Android","OnePlus 11","India","2021-01-21 15:27:11.827471972","4","Great design and very helpful for daily tasks.","positive","8","7","11","0","1","1","8.02","494.44","1093328","180948","1560934","64.33","3","44","1","38.87","0.399","0.184","0.791","English","Android 14","5G"
"83","1959","373932","HealthPlus","Finance","2.5","Android","OnePlus 11","Canada","2019-09-07 05:02:28.369403601","3","Fair performance.","neutral","2","4","10","0","1","1","49.16","404.72","3469107","15028","1315151","5.88","6","147","0","0","0.817","0.103","0.638","French","Android 14","5G"
"86","1409","926501","HealthPlus","Social","1.2","Android","OnePlus 11","India","2021-10-27 04:06:35.230561495","5","Highly recommend this app. Works perfectly.","positive","6","2","12","0","1","0","8.95","169.64","1694022","286101","1569674","51.09","2","161","0","0","0.738","0.267","0.769","English","Android 13","5G"
"91","1665","336767","HealthPlus","Education","2.0","Android","Pixel 8","India","2023-07-02 15:57:53.210801601","3","Fair performance.","neutral","2","4","9","1","1","1","30.29","63.49","704695","81581","1363846","4.91","1","152","0","0","0.751","0.763","0.554","English","Android 13","WiFi"
"92","1986","789421","HealthPlus","Finance","1.0","Android","Samsung S23","UK","2022-10-25 20:41:46.874294996","2","Waste of time. Doesn't work properly.","negative","6","4","8","1","0","0","29.81","308.44","2634853","179532","216891","78.49","1","22","0","0","0.651","0.611","0.616","English","Android 14","WiFi"
"98","1383","881180","HealthPlus","Social","2.5","Android","Pixel 8","Canada","2022-08-02 09:50:05.487055779","2","Waste of time. Doesn't work properly.","negative","6","5","8","1","0","1","48.35","279.08","1381820","82749","1409149","6.69","2","57","1","23.37","0.285","0.346","0.415","English","Android 13","4G"
"100","1142","259747","HealthPlus","Education","1.0","Android","OnePlus 11","India","2023-12-30 00:24:47.358710289","2","App keeps crashing and is full of bugs.","negative","8","6","11","0","0","0","12.56","78.66","86032","144781","1510768","67.53","2","146","1","15.3","0.5","0.625","0.516","English","Android 14","WiFi"
"102","1807","596385","HealthPlus","Education","2.5","Android","Pixel 8","Germany","2021-10-09 15:46:37.362555027","4","Highly recommend this app. Works perfectly.","positive","6","3","11","0","0","0","8.88","160.44","3966976","387238","1983658","95.99","1","79","0","0","0.791","0.056","0.254","German","Android 14","4G"
"103","1176","265914","HealthPlus","Social","2.0","Android","Pixel 8","India","2023-07-22 16:15:31.102935076","1","Slow performance and poor usability.","negative","5","11","8","0","0","1","44.82","352.4","2240686","295014","726794","42.04","2","143","0","0","0.245","0.727","0.794","English","Android 13","WiFi"
"109","1667","242916","HealthPlus","Health","2.5","Android","Samsung S23","UK","2023-10-17 13:20:42.898378372","5","Highly recommend this app. Works perfectly.","positive","6","6","17","0","1","1","38.05","176.33","1953786","11642","87014","118.0","3","80","1","9.18","0.611","0.208","0.28","English","Android 14","4G"
"114","1510","474698","HealthPlus","Gaming","1.0","iOS","iPhone 14","Canada","2024-07-25 02:12:21.944302320","4","Great design and very helpful for daily tasks.","positive","8","8","8","0","1","1","31.17","301.7","456401","81303","1347052","5.54","4","158","0","0","0.296","0.707","0.665","English","iOS 16","WiFi"
"125","1835","710500","HealthPlus","Finance","3.0","Android","Samsung S23","USA","2022-05-27 14:28:48.010735989","3","Fair performance.","neutral","2","7","6","0","1","1","49.18","279.81","110998","6823","1929379","100.22","2","96","0","0","0.844","0.568","0.692","English","Android 13","5G"
"128","1081","447271","HealthPlus","Health","3.0","Android","Samsung S23","Canada","2021-03-18 13:40:27.941559792","4","Fantastic performance. Very intuitive and useful.","positive","6","4","7","1","1","0","14.63","269.73","2094207","303141","1811137","117.49","3","42","0","0","0.738","0.442","0.086","French","Android 14","WiFi"
"129","1991","823937","HealthPlus","Social","1.0","iOS","iPhone 14","India","2023-07-22 07:59:33.632844687","3","Okay experience overall.","neutral","3","4","8","0","1","1","47.15","53.76","4746605","309459","1111342","39.54","6","169","0","0","0.741","0.613","0.051","English","iOS 17","5G"
"132","1158","543824","HealthPlus","Social","2.0","Android","OnePlus 11","USA","2019-01-17 02:14:43.352511406","1","Very disappointing experience. Needs improvement.","negative","5","3","10","0","1","0","0.21","294.71","3534045","154216","170728","45.8","1","86","1","18.09","0.284","0.678","0.196","English","Android 14","5G"
"135","1631","160254","HealthPlus","Gaming","1.2","iOS","iPhone 14","Germany","2020-08-01 17:14:30.937171459","5","Great design and very helpful for daily tasks.","positive","8","7","12","1","0","1","11.03","260.55","2963073","60699","160275","101.9","0","105","0","0","0.615","0.761","0.497","German","iOS 16","WiFi"
"136","1980","654479","HealthPlus","Education","1.2","iOS","iPhone 14","Canada","2021-11-16 01:58:28.018972158","4","Fantastic performance. Very intuitive and useful.","positive","6","1","5","1","1","0","48.79","97.6","4010779","365643","1419193","38.18","3","178","1","58.56","0.581","0.291","0.223","French","iOS 17","WiFi"
"139","1984","948625","HealthPlus","Gaming","1.0","Android","Samsung S23","Canada","2023-11-27 20:20:45.246330738","2","Very disappointing experience. Needs improvement.","negative","5","4","10","1","1","0","30.11","156.12","4688276","423776","1861244","26.66","3","15","1","25.37","0.14","0.158","0.562","English","Android 13","WiFi"
"143","1954","203605","HealthPlus","Gaming","1.0","Android","OnePlus 11","Germany","2023-04-15 00:01:33.695385695","5","Amazing experience. Exceeded my expectations.","positive","5","7","6","0","1","1","39.07","209.27","2637289","62584","1389049","119.26","1","137","1","52.18","0.714","0.63","0.159","German","Android 14","4G"
"144","1251","598453","HealthPlus","Finance","3.0","Android","Pixel 8","Germany","2021-12-19 02:13:36.513070107","3","Average app. Nothing special.","neutral","4","10","8","0","1","1","37.11","141.93","2288188","265921","763597","87.78","2","50","1","31.37","0.823","0.251","0.73","German","Android 14","5G"
"147","1876","504765","HealthPlus","Gaming","1.0","Android","Pixel 8","USA","2021-04-29 03:12:21.551284313","3","Okay experience overall.","neutral","3","1","10","1","0","0","42.57","258.09","1933995","14023","130880","16.22","1","21","0","0","0.817","0.763","0.344","English","Android 14","4G"
"163","1644","923154","HealthPlus","Finance","2.0","Android","Samsung S23","Germany","2020-02-29 15:14:45.040909290","2","Not satisfied. Too many issues.","negative","5","7","15","0","0","0","25.52","292.18","579425","466027","1370574","83.68","3","178","1","18.65","0.183","0.426","0.868","German","Android 13","4G"
"165","1540","947800","HealthPlus","Education","1.2","iOS","iPhone 14","Germany","2022-07-07 15:11:13.733011484","4","Amazing experience. Exceeded my expectations.","positive","5","6","11","1","0","0","48.9","442.92","2371977","75924","1234756","68.13","5","86","1","11.92","0.577","0.21","0.258","German","iOS 17","5G"
"172","1723","654853","HealthPlus","Gaming","2.0","Android","Pixel 8","Germany","2021-09-06 05:32:49.202162027","2","Waste of time. Doesn't work properly.","negative","6","3","8","0","0","1","46.46","103.02","1759852","366341","658734","103.37","2","51","1","53.03","0.359","0.114","0.126","German","Android 14","4G"
"176","1818","952646","HealthPlus","Social","3.0","iOS","iPhone 14","India","2024-01-24 09:08:21.935659409","5","Absolutely love this app. Smooth experience and great features.","positive","9","2","12","0","0","1","20.87","301.95","316064","389085","1891853","58.57","4","104","1","67.44","0.483","0.685","0.608","English","iOS 16","WiFi"
"189","1399","823848","HealthPlus","Education","2.0","iOS","iPhone 14","Canada","2023-04-29 16:17:48.589625835","5","Amazing experience. Exceeded my expectations.","positive","5","4","10","1","1","1","2.71","216.68","4939730","242127","1408842","33.02","5","99","1","57.55","0.131","0.548","0.854","English","iOS 16","5G"
"192","1445","128249","HealthPlus","Gaming","1.0","Android","Pixel 8","UK","2019-07-26 01:31:00.368583918","1","App keeps crashing and is full of bugs.","negative","8","5","10","1","1","0","46.62","394.24","2946910","298568","1340221","11.74","4","28","0","0","0.254","0.174","0.264","English","Android 13","WiFi"
"195","1440","462987","HealthPlus","Education","3.0","Android","OnePlus 11","Germany","2024-04-22 20:58:11.302362919","1","Waste of time. Doesn't work properly.","negative","6","8","8","0","1","1","35.36","422.33","595177","155493","359555","49.46","2","92","0","0","0.809","0.574","0.092","German","Android 13","WiFi"
"196","1031","245286","HealthPlus","Gaming","1.2","iOS","iPhone 14","India","2020-10-05 15:30:09.751418352","5","Great design and very helpful for daily tasks.","positive","8","2","8","0","1","0","2.18","161.14","3912239","338603","1089966","57.45","4","48","0","0","0.838","0.315","0.375","English","iOS 16","5G"
"199","1433","696771","HealthPlus","Finance","2.5","Android","Samsung S23","UK","2023-03-20 19:51:34.056983232","5","Absolutely love this app. Smooth experience and great features.","positive","9","4","7","0","0","1","11.8","381.48","2034312","379421","444272","108.74","1","108","0","0","0.24","0.409","0.504","English","Android 14","WiFi"
"200","1894","877957","HealthPlus","Education","2.5","Android","OnePlus 11","UK","2020-10-02 13:51:22.977768183","3","Fair performance.","neutral","2","3","10","1","1","1","37.12","162.32","3792593","249579","412658","78.86","2","84","0","0","0.67","0.278","0.539","English","Android 14","5G"
"204","1426","843407","HealthPlus","Social","3.0","Android","Pixel 8","India","2022-06-02 13:38:30.027119875","3","Average app. Nothing special.","neutral","4","4","8","0","0","1","22.05","413.08","3279524","362148","920916","46.64","0","38","0","0","0.791","0.555","0.749","English","Android 13","5G"
"217","1581","591415","HealthPlus","Gaming","1.0","Android","OnePlus 11","India","2021-07-03 15:59:12.569360733","2","Slow performance and poor usability.","negative","5","2","11","1","1","0","39.93","246.43","1717042","32475","659384","53.47","0","89","0","0","0.9","0.626","0.75","English","Android 14","5G"
"222","1252","360725","HealthPlus","Finance","3.0","Android","Samsung S23","USA","2024-11-19 04:19:14.643119812","2","Very disappointing experience. Needs improvement.","negative","5","9","13","0","0","0","31.39","473.99","2982063","471937","1552023","52.3","0","121","1","11.69","0.365","0.084","0.769","English","Android 14","WiFi"
"229","1712","557233","HealthPlus","Education","1.2","Android","Pixel 8","USA","2020-05-19 14:07:59.576616764","1","Very disappointing experience. Needs improvement.","negative","5","8","9","0","0","0","23.03","444.82","2626818","459529","984406","28.04","6","57","0","0","0.244","0.485","0.369","English","Android 13","5G"
"239","1220","516677","HealthPlus","Social","2.0","Android","OnePlus 11","Canada","2023-02-18 18:09:42.800663948","2","Very disappointing experience. Needs improvement.","negative","5","6","7","1","0","0","4.13","236.76","4612757","17864","1219454","63.29","3","103","0","0","0.557","0.564","0.878","French","Android 13","WiFi"
"241","1711","869422","HealthPlus","Social","2.0","Android","Samsung S23","UK","2024-05-24 16:46:23.679736137","1","Very disappointing experience. Needs improvement.","negative","5","4","11","1","0","1","2.38","363.86","4096272","474356","1908615","45.81","1","161","1","14.84","0.797","0.527","0.238","English","Android 13","WiFi"
"242","1045","689514","HealthPlus","Health","2.5","Android","Samsung S23","India","2024-05-21 13:02:13.243060112","1","App keeps crashing and is full of bugs.","negative","8","1","11","1","1","0","30.42","391.11","345225","7508","168341","102.49","1","64","0","0","0.894","0.684","0.288","English","Android 14","4G"
"247","1370","261734","HealthPlus","Gaming","2.0","Android","Samsung S23","India","2022-12-26 18:29:10.561577320","5","Fantastic performance. Very intuitive and useful.","positive","6","4","8","1","0","0","47.14","376.76","3826857","141220","373678","42.49","0","71","0","0","0.166","0.446","0.593","English","Android 13","WiFi"
"254","1371","836639","HealthPlus","Finance","1.2","iOS","iPhone 14","USA","2024-09-15 23:20:18.362918615","1","Very disappointing experience. Needs improvement.","negative","5","3","12","0","1","1","20.02","292.04","1498625","439951","1093330","33.04","0","16","1","28.62","0.405","0.761","0.648","English","iOS 16","4G"
"262","1725","259128","HealthPlus","Social","2.5","Android","OnePlus 11","USA","2023-12-13 01:05:51.648741245","2","App keeps crashing and is full of bugs.","negative","8","3","7","0","0","1","12.15","364.23","1108444","37040","1348203","56.03","1","59","1","2.06","0.262","0.219","0.876","English","Android 14","WiFi"
"263","1117","397266","HealthPlus","Education","2.5","Android","Pixel 8","Canada","2022-01-10 10:42:54.554956675","1","Very disappointing experience. Needs improvement.","negative","5","3","14","0","1","0","37.18","59.05","938732","124991","853028","7.77","3","96","1","60.79","0.437","0.342","0.607","English","Android 13","WiFi"
"270","1455","492082","HealthPlus","Health","2.0","Android","OnePlus 11","UK","2019-04-05 07:43:30.268691063","3","Average app. Nothing special.","neutral","4","5","11","1","0","1","33.18","425.38","2389991","415943","1855819","84.72","2","160","1","43.74","0.71","0.387","0.84","English","Android 14","4G"
"273","1855","996173","HealthPlus","Gaming","1.0","Android","OnePlus 11","UK","2021-06-13 03:20:19.309500217","3","Fair performance.","neutral","2","6","5","0","1","0","20.81","378.7","4192029","202231","229145","47.49","3","179","1","1.69","0.152","0.06","0.387","English","Android 13","WiFi"
"284","1493","500229","HealthPlus","Social","3.0","Android","Samsung S23","USA","2023-10-24 11:48:12.118126392","5","Highly recommend this app. Works perfectly.","positive","6","4","3","1","1","1","30.3","15.95","1079489","202075","1425881","94.46","5","16","1","52.32","0.735","0.741","0.067","English","Android 13","4G"
"287","1284","880889","HealthPlus","Education","3.0","Android","Samsung S23","Canada","2022-12-04 09:38:19.453228712","4","Great design and very helpful for daily tasks.","positive","8","4","12","1","1","1","30.47","484.4","4804239","17974","598947","55.26","4","98","0","0","0.765","0.058","0.767","French","Android 13","WiFi"
"288","1774","492887","HealthPlus","Gaming","1.2","Android","Samsung S23","UK","2021-10-14 17:11:01.342640877","4","Great design and very helpful for daily tasks.","positive","8","5","9","1","1","0","16.07","374.91","220117","458761","1179821","39.46","0","83","0","0","0.583","0.509","0.848","English","Android 13","WiFi"
"289","1338","848171","HealthPlus","Gaming","1.2","Android","Pixel 8","USA","2020-06-05 08:59:04.910965204","2","Slow performance and poor usability.","negative","5","2","6","0","1","0","10.88","436.12","4178888","219630","1847800","31.21","0","175","1","42.06","0.38","0.458","0.773","English","Android 13","5G"
"293","1831","933675","HealthPlus","Finance","2.5","Android","OnePlus 11","USA","2020-10-20 00:35:08.744896173","2","Slow performance and poor usability.","negative","5","5","12","0","0","1","23.64","23.44","2656731","341759","1589648","63.76","2","145","0","0","0.817","0.063","0.119","English","Android 13","5G"
"294","1571","742543","HealthPlus","Gaming","1.2","iOS","iPhone 14","USA","2019-06-30 23:41:16.804111958","4","Great design and very helpful for daily tasks.","positive","8","3","13","1","0","0","15.54","116.92","3419433","82255","1742847","116.3","1","104","0","0","0.373","0.325","0.461","English","iOS 17","4G"
"304","1537","926985","HealthPlus","Gaming","2.0","iOS","iPhone 14","India","2019-09-21 00:54:41.929760456","5","Absolutely love this app. Smooth experience and great features.","positive","9","2","9","0","1","1","40.04","172.77","2468603","225964","394116","106.5","0","112","0","0","0.137","0.118","0.757","English","iOS 16","5G"
"306","1358","324428","HealthPlus","Gaming","1.0","Android","Samsung S23","India","2020-03-26 16:37:05.158313751","2","App keeps crashing and is full of bugs.","negative","8","3","7","1","0","1","10.09","205.41","1697025","137378","1519482","89.92","7","12","0","0","0.647","0.156","0.467","English","Android 14","WiFi"
"308","1304","618635","HealthPlus","Health","2.0","Android","OnePlus 11","USA","2019-04-11 00:52:29.553122044","2","Slow performance and poor usability.","negative","5","6","11","0","1","0","6.98","207.43","1918693","346632","614468","5.54","3","116","0","0","0.618","0.704","0.073","English","Android 14","4G"
"309","1928","931162","HealthPlus","Health","1.0","Android","OnePlus 11","India","2021-06-29 21:11:09.347544432","3","Fair performance.","neutral","2","7","5","0","0","1","9.23","94.69","3136243","38176","255941","49.75","3","92","0","0","0.181","0.068","0.889","English","Android 13","5G"
"314","1277","999510","HealthPlus","Gaming","3.0","Android","Samsung S23","USA","2019-09-04 16:37:28.009573936","5","Highly recommend this app. Works perfectly.","positive","6","2","17","0","0","0","28.73","100.33","2585889","63096","1514729","25.29","2","109","1","12.34","0.712","0.196","0.552","English","Android 14","5G"
"315","1601","386669","HealthPlus","Gaming","2.5","iOS","iPhone 14","Canada","2020-05-24 23:59:35.983172178","5","Great design and very helpful for daily tasks.","positive","8","7","5","0","0","0","21.03","100.11","1906572","155602","157035","71.57","0","75","0","0","0.301","0.515","0.635","English","iOS 16","5G"
"321","1985","638705","HealthPlus","Health","3.0","Android","Samsung S23","Canada","2022-04-10 01:43:36.801535606","2","Very disappointing experience. Needs improvement.","negative","5","7","11","0","1","1","3.01","121.58","3124637","52976","956213","25.54","2","92","1","16.71","0.345","0.717","0.306","English","Android 13","5G"
"322","1537","239078","HealthPlus","Social","2.5","Android","OnePlus 11","USA","2023-03-31 01:16:59.283397913","3","Fair performance.","neutral","2","4","16","0","0","1","1.11","247.13","151474","205197","1998824","77.23","1","19","1","59.94","0.707","0.485","0.315","English","Android 13","4G"
"326","1221","264488","HealthPlus","Finance","2.0","Android","Pixel 8","UK","2024-07-24 14:36:18.832139254","2","Waste of time. Doesn't work properly.","negative","6","4","8","0","0","0","30.99","337.2","4445621","79960","1295866","6.28","2","90","1","59.09","0.784","0.517","0.838","English","Android 13","WiFi"
"331","1609","681788","HealthPlus","Health","2.0","Android","OnePlus 11","UK","2021-03-21 12:41:22.409534931","1","Waste of time. Doesn't work properly.","negative","6","5","14","0","0","1","18.65","268.56","268850","161429","485462","116.4","3","153","0","0","0.427","0.174","0.494","English","Android 14","4G"
"334","1774","399440","HealthPlus","Gaming","2.5","Android","OnePlus 11","Germany","2019-08-13 06:09:44.232769966","2","App keeps crashing and is full of bugs.","negative","8","9","11","1","1","1","23.72","62.84","96729","31046","192370","31.05","1","164","1","60.51","0.302","0.636","0.716","German","Android 13","4G"
"337","1989","242260","HealthPlus","Health","3.0","Android","Pixel 8","USA","2020-06-25 08:10:59.476586103","4","Amazing experience. Exceeded my expectations.","positive","5","3","5","0","0","1","7.25","25.61","2849014","154414","695399","21.31","3","35","1","24.84","0.11","0.259","0.36","English","Android 13","5G"
"338","1300","821140","HealthPlus","Gaming","2.5","Android","Samsung S23","UK","2022-03-18 06:42:38.905727386","5","Amazing experience. Exceeded my expectations.","positive","5","3","10","0","0","1","43.4","239.19","611735","137627","558424","51.2","1","174","1","47.78","0.256","0.437","0.532","English","Android 14","4G"
"340","1794","177042","HealthPlus","Social","2.0","Android","Pixel 8","UK","2022-02-10 09:15:24.067142725","2","App keeps crashing and is full of bugs.","negative","8","7","12","1","1","0","8.06","308.72","3450843","79209","1370669","99.83","2","25","0","0","0.37","0.329","0.71","English","Android 14","4G"
"343","1508","328466","HealthPlus","Gaming","1.0","Android","Pixel 8","India","2021-08-01 13:38:35.131474018","1","Very disappointing experience. Needs improvement.","negative","5","3","11","0","0","0","29.42","416.56","1154888","135192","1257779","40.76","3","55","0","0","0.672","0.738","0.581","English","Android 13","WiFi"
"346","1742","304317","HealthPlus","Health","1.0","iOS","iPhone 14","India","2024-03-22 06:43:45.878515959","1","Slow performance and poor usability.","negative","5","5","10","0","1","1","10.64","427.93","1571628","475784","1818930","54.69","3","29","0","0","0.219","0.266","0.11","English","iOS 16","4G"
"349","1682","760582","HealthPlus","Finance","1.2","iOS","iPhone 14","USA","2022-06-01 05:45:18.833228827","2","App keeps crashing and is full of bugs.","negative","8","8","5","1","1","1","6.82","463.97","2021060","240551","1667504","58.33","3","112","0","0","0.755","0.623","0.258","English","iOS 17","5G"
"354","1881","490131","HealthPlus","Education","1.0","Android","Pixel 8","India","2020-02-13 12:06:22.089872837","4","Amazing experience. Exceeded my expectations.","positive","5","8","17","0","1","1","39.16","456.29","3941737","22354","1531828","11.49","3","136","0","0","0.548","0.107","0.315","English","Android 14","4G"
"360","1795","173416","HealthPlus","Finance","2.5","Android","Samsung S23","USA","2020-05-09 10:01:33.031650543","2","Very disappointing experience. Needs improvement.","negative","5","6","10","0","1","1","9.53","257.18","239943","60593","127518","23.59","2","31","0","0","0.347","0.506","0.807","English","Android 13","5G"
"366","1113","809283","HealthPlus","Health","1.2","Android","Pixel 8","USA","2024-05-19 07:59:11.060928583","5","Great design and very helpful for daily tasks.","positive","8","4","18","0","1","0","12.54","361.25","4628194","74058","1108401","71.6","0","129","0","0","0.779","0.062","0.481","English","Android 13","5G"
"367","1447","147459","HealthPlus","Finance","2.0","Android","Pixel 8","UK","2019-07-03 05:35:59.911239862","4","Amazing experience. Exceeded my expectations.","positive","5","8","7","1","1","0","28.73","31.02","4783697","307565","721381","48.34","1","118","0","0","0.246","0.077","0.242","English","Android 14","WiFi"
"371","1926","819905","HealthPlus","Social","2.5","Android","Samsung S23","India","2019-05-16 20:59:38.096519232","5","Fantastic performance. Very intuitive and useful.","positive","6","2","9","1","0","1","20.28","396.08","4720080","72987","1275241","75.68","1","67","0","0","0.837","0.731","0.584","English","Android 13","5G"
"373","1037","232877","HealthPlus","Gaming","2.5","iOS","iPhone 14","USA","2024-06-10 08:50:47.357783794","2","App keeps crashing and is full of bugs.","negative","8","5","13","1","0","0","48.37","284.25","4731417","38716","1577223","86.63","2","11","0","0","0.399","0.482","0.446","English","iOS 16","5G"
"382","1200","747717","HealthPlus","Health","2.0","Android","Samsung S23","UK","2024-11-10 08:46:30.124262571","3","Okay experience overall.","neutral","3","6","9","1","0","0","4.67","331.62","695215","295821","1295523","55.52","6","63","0","0","0.63","0.132","0.085","English","Android 13","4G"
"384","1253","227597","HealthPlus","Finance","1.0","Android","Pixel 8","India","2019-07-23 13:33:57.609507084","3","Fair performance.","neutral","2","5","16","1","1","0","37.9","211.5","4241208","61529","1437125","27.13","2","138","0","0","0.453","0.635","0.771","English","Android 13","4G"
"387","1210","493238","HealthPlus","Health","1.2","Android","OnePlus 11","Canada","2021-12-17 10:06:06.063817024","4","Fantastic performance. Very intuitive and useful.","positive","6","5","15","0","0","0","38.14","352.22","3673631","78842","1827175","114.03","4","137","0","0","0.109","0.752","0.539","English","Android 14","WiFi"
"390","1777","176012","HealthPlus","Social","2.0","iOS","iPhone 14","Germany","2023-09-02 17:43:11.397739887","5","Great design and very helpful for daily tasks.","positive","8","8","8","0","1","1","2.0","29.85","3347012","15315","1043212","51.06","2","84","1","5.79","0.548","0.797","0.423","German","iOS 16","4G"
"395","1119","469579","HealthPlus","Education","2.5","Android","Pixel 8","USA","2022-03-25 22:48:53.226444006","1","Slow performance and poor usability.","negative","5","4","6","0","0","0","12.75","230.82","4713514","467098","701297","84.77","2","170","1","24.5","0.887","0.58","0.365","English","Android 13","5G"
